Skin Type,Recommendation,Product,Website
Acne,Cleanser,CeraVe Foaming Facial Cleanser,Amazon
Acne,Treatment,La Roche-Posay Effaclar Duo Dual Acne Treatment,Ulta
Acne,Moisturizer,Neutrogena Oil-Free Moisture,Walmart
Acne,Sunscreen,EltaMD UV Clear Broad-Spectrum SPF 46,Dermstore
Acne,Spot Treatment,Differin Gel,Target
Acne,Exfoliator,Paula's Choice Skin Perfecting 2% BHA Liquid,Paula's Choice
Acne,Mask,Aztec Secret Indian Healing Clay,Amazon
Acne,Serum,The Ordinary Niacinamide 10% + Zinc 1%,Deciem
Acne,Moisturizer with Salicylic Acid,Neutrogena Oil-Free Acne Moisturizer,Priceline
Acne,Acne Patches,Cosrx Acne Pimple Master Patch,Ulta
Acne,Chemical Exfoliant,Stridex Maximum Strength Pads,Amazon
Dry,Cleanser,Cetaphil Gentle Skin Cleanser,Target
Dry,Hydrating Serum,The Ordinary Hyaluronic Acid 2% + B5,Deciem
Dry,Moisturizer,CeraVe Moisturizing Cream,Drugstore.com
Dry,Sunscreen,Aveeno Positively Radiant Daily Moisturizer SPF 30,CVS
Dry,Night Cream,Neutrogena Hydro Boost Water Gel Lotion SPF 30,Amazon
Dry,Lip Balm,Burt's Bees Beeswax Lip Balm,Target
Dry,Face Oil,The Ordinary 100% Plant-Derived Squalane,Deciem
Dry,Hydrating Mask,Kiehl's Ultra Facial Overnight Hydrating Masque,Sephora
Dry,Sheet Mask,Dr. Jart+ Dermask Water Jet Vital Hydra Solution,Sephora
Dry,Hydrating Toner,Hada Labo Rohto Hadalabo Gokujun Hyaluronic Lotion,Amazon
Oil,Foaming Cleanser,La Roche-Posay Effaclar Purifying Foaming Gel Cleanser,Sephora
Oil,Oil-Free Moisturizer,Clinique Dramatically Different Moisturizing Gel,Nordstrom
Oil,Mattifying Primer,Smashbox Photo Finish Oil-Free Foundation Primer,Sephora
Oil,Sunscreen,Neutrogena Hydro Boost Water Gel Lotion SPF 30,Walgreens
Oil,Clay Mask,Aztec Secret Indian Healing Clay,Amazon
Oil,Blotting Sheets,Clean & Clear Oil Absorbing Sheets,Walmart
Oil,Salicylic Acid Cleanser,The Ordinary Salicylic Acid 2% Solution,Deciem
Oil,Exfoliating Scrub,St. Ives Fresh Skin Apricot Scrub,Target
Oil,Oil-Control Moisturizer,Mario Badescu Control Moisturizer for Oily Skin,Ulta
Oil,Water-Based Cleanser,Garnier SkinActive Micellar Cleansing Water,Amazon
